      Energy	InelasticMFP
        (eV)	        (nm)
1.396368e+00	2.747408e+00
1.412538e+00	2.768786e+00
1.428894e+00	2.790392e+00
1.445440e+00	2.812229e+00
1.462177e+00	2.834297e+00
1.479108e+00	2.856600e+00
1.496236e+00	2.879139e+00
1.513561e+00	2.901916e+00
1.531087e+00	2.924934e+00
1.548817e+00	2.948193e+00
1.566751e+00	2.971697e+00
1.584893e+00	2.995447e+00
1.603245e+00	3.019446e+00
1.621810e+00	3.043695e+00
1.640590e+00	3.068198e+00
1.659587e+00	3.092956e+00
1.678804e+00	3.117971e+00
1.698244e+00	3.143246e+00
1.717908e+00	3.168783e+00
1.737801e+00	3.194585e+00
1.757924e+00	3.220653e+00
1.778279e+00	3.246991e+00
1.798871e+00	3.273600e+00
1.819701e+00	3.300483e+00
1.840772e+00	3.327643e+00
1.862087e+00	3.355082e+00
1.883649e+00	3.382803e+00
1.905461e+00	3.410808e+00
1.927525e+00	3.439099e+00
1.949845e+00	3.467681e+00
1.972423e+00	3.496554e+00
1.995262e+00	3.525722e+00
2.018366e+00	3.555188e+00
2.041738e+00	3.584955e+00
2.065380e+00	3.615024e+00
2.089296e+00	3.645399e+00
2.113489e+00	3.676084e+00
2.137962e+00	3.707080e+00
2.162719e+00	3.738391e+00
2.187762e+00	3.770019e+00
2.213095e+00	3.801968e+00
2.238721e+00	3.834241e+00
2.264644e+00	3.866840e+00
2.290868e+00	3.899770e+00
2.317395e+00	3.933032e+00
2.344229e+00	3.966630e+00
2.371374e+00	4.000568e+00
2.398833e+00	4.034848e+00
2.426610e+00	4.069474e+00
2.454709e+00	4.104449e+00
2.483133e+00	4.139777e+00
2.511886e+00	4.175460e+00
2.540973e+00	4.211503e+00
2.570396e+00	4.247908e+00
2.600160e+00	4.284680e+00
2.630268e+00	4.321821e+00
2.660725e+00	4.359336e+00
2.691535e+00	4.397227e+00
2.722701e+00	4.435499e+00
2.754229e+00	4.474156e+00
2.786121e+00	4.513200e+00
2.818383e+00	4.552636e+00
2.851018e+00	4.592467e+00
2.884032e+00	4.632698e+00
2.917427e+00	4.673332e+00
2.951209e+00	4.714373e+00
2.985383e+00	4.755825e+00
3.019952e+00	4.797692e+00
3.054921e+00	4.839978e+00
3.090295e+00	4.882688e+00
3.126079e+00	4.925825e+00
3.162278e+00	4.969394e+00
3.198895e+00	5.013399e+00
3.235937e+00	5.057843e+00
3.273407e+00	5.102732e+00
3.311311e+00	5.148070e+00
3.349654e+00	5.193861e+00
3.388442e+00	5.240110e+00
3.427678e+00	5.286821e+00
3.467369e+00	5.333998e+00
3.507519e+00	5.381647e+00
3.548134e+00	5.429772e+00
3.589219e+00	5.478377e+00
3.630781e+00	5.527468e+00
3.672823e+00	5.577049e+00
3.715352e+00	5.627125e+00
3.758374e+00	5.677701e+00
3.801894e+00	5.728782e+00
3.845918e+00	5.780373e+00
3.890451e+00	5.832478e+00
3.935501e+00	5.885104e+00
3.981072e+00	5.938255e+00
4.027170e+00	5.991936e+00
4.073803e+00	6.046153e+00
4.120975e+00	6.100911e+00
4.168694e+00	6.156215e+00
4.216965e+00	6.212072e+00
4.265795e+00	6.268485e+00
4.315191e+00	6.325461e+00
4.365158e+00	6.383006e+00
4.415704e+00	6.441125e+00
4.466836e+00	6.499824e+00
4.518559e+00	6.559108e+00
4.570882e+00	6.618984e+00
4.623810e+00	6.679458e+00
4.677351e+00	6.740534e+00
4.731513e+00	6.802221e+00
4.786301e+00	6.864522e+00
4.841724e+00	6.927445e+00
4.897788e+00	6.990997e+00
4.954502e+00	7.055182e+00
5.011872e+00	7.120008e+00
5.069907e+00	7.185481e+00
5.128614e+00	7.251607e+00
5.188000e+00	7.318393e+00
5.248075e+00	7.385846e+00
5.308844e+00	7.453972e+00
5.370318e+00	7.522778e+00
5.432503e+00	7.592271e+00
5.495409e+00	7.662458e+00
5.559043e+00	7.733346e+00
5.623413e+00	7.804941e+00
5.688529e+00	7.877252e+00
5.754399e+00	7.950284e+00
5.821032e+00	8.024046e+00
5.888437e+00	8.098545e+00
5.956621e+00	8.173788e+00
6.025596e+00	8.249782e+00
6.095369e+00	8.326536e+00
6.165950e+00	8.404057e+00
6.237348e+00	8.482352e+00
6.309573e+00	8.561429e+00
6.382635e+00	8.641298e+00
6.456542e+00	8.721964e+00
6.531306e+00	8.803437e+00
6.606934e+00	8.885724e+00
6.683439e+00	8.968834e+00
6.760830e+00	9.052775e+00
6.839116e+00	9.137556e+00
6.918310e+00	9.223184e+00
6.998420e+00	9.309669e+00
7.079458e+00	9.397020e+00
7.161434e+00	9.485244e+00
7.244360e+00	9.574351e+00
7.328245e+00	9.664350e+00
7.413102e+00	9.755250e+00
7.498942e+00	9.847060e+00
7.585776e+00	9.939788e+00
7.673615e+00	1.003345e+01
7.762471e+00	1.012804e+01
7.852356e+00	1.022358e+01
7.943282e+00	1.032008e+01
8.035261e+00	1.041755e+01
8.128305e+00	1.051599e+01
8.222426e+00	1.061542e+01
8.317638e+00	1.071585e+01
8.413951e+00	1.081728e+01
8.511380e+00	1.091973e+01
8.609938e+00	1.102321e+01
8.709636e+00	1.112772e+01
8.810489e+00	1.123328e+01
8.912509e+00	1.133990e+01
9.015711e+00	1.144759e+01
9.120108e+00	1.155637e+01
9.225714e+00	1.166623e+01
9.332543e+00	1.177719e+01
9.440609e+00	1.188927e+01
9.549926e+00	1.200248e+01
9.660509e+00	1.211682e+01
9.772372e+00	1.223231e+01
9.885531e+00	1.234896e+01
1.000000e+01	1.246678e+01
1.011579e+01	1.258578e+01
1.023293e+01	1.270598e+01
1.035142e+01	1.282739e+01
1.047129e+01	1.295002e+01
1.059254e+01	1.307388e+01
1.071519e+01	1.319899e+01
1.083927e+01	1.332535e+01
1.096478e+01	1.345299e+01
1.109175e+01	1.358190e+01
1.122018e+01	1.371212e+01
1.135011e+01	1.384365e+01
1.148154e+01	1.397650e+01
1.161449e+01	1.411068e+01
1.174898e+01	1.424622e+01
1.188502e+01	1.438313e+01
1.202264e+01	1.452141e+01
1.216186e+01	1.466108e+01
1.230269e+01	1.480216e+01
1.244515e+01	1.494466e+01
1.258925e+01	1.508860e+01
1.273503e+01	1.523399e+01
1.288250e+01	1.538085e+01
1.303167e+01	1.552918e+01
1.318257e+01	1.567901e+01
1.333521e+01	1.583035e+01
1.348963e+01	1.598321e+01
1.364583e+01	1.613758e+01
1.380384e+01	1.629339e+01
1.396368e+01	1.645035e+01
1.412538e+01	1.660719e+01
1.428894e+01	1.676425e+01
1.445440e+01	1.692151e+01
1.462177e+01	1.707889e+01
1.479108e+01	1.723625e+01
1.496236e+01	1.739339e+01
1.513561e+01	1.755011e+01
1.531087e+01	1.770615e+01
1.548817e+01	1.786120e+01
1.566751e+01	1.801492e+01
1.584893e+01	1.816692e+01
1.603245e+01	1.831674e+01
1.621810e+01	1.846399e+01
1.640590e+01	1.860837e+01
1.659587e+01	1.874948e+01
1.678804e+01	1.888687e+01
1.698244e+01	1.902003e+01
1.717908e+01	1.914842e+01
1.737801e+01	1.927142e+01
1.757924e+01	1.938838e+01
1.778279e+01	1.949858e+01
1.798871e+01	1.960126e+01
1.819701e+01	1.969531e+01
1.840772e+01	1.977793e+01
1.862087e+01	1.984647e+01
1.883649e+01	1.989806e+01
1.905461e+01	1.992948e+01
1.927525e+01	1.993717e+01
1.949845e+01	1.991717e+01
1.972423e+01	1.986512e+01
1.995262e+01	1.977631e+01
2.018366e+01	1.964572e+01
2.041738e+01	1.947709e+01
2.065380e+01	1.927167e+01
2.089296e+01	1.903037e+01
2.113489e+01	1.875414e+01
2.137962e+01	1.844411e+01
2.162719e+01	1.810166e+01
2.187762e+01	1.772844e+01
2.213095e+01	1.732637e+01
2.238721e+01	1.690045e+01
2.264644e+01	1.645559e+01
2.290868e+01	1.599583e+01
2.317395e+01	1.552477e+01
2.344229e+01	1.504571e+01
2.371374e+01	1.456169e+01
2.398833e+01	1.407543e+01
2.426610e+01	1.358970e+01
2.454709e+01	1.310820e+01
2.483133e+01	1.263345e+01
2.511886e+01	1.216742e+01
2.540973e+01	1.171165e+01
2.570396e+01	1.126730e+01
2.600160e+01	1.083528e+01
2.630268e+01	1.041626e+01
2.660725e+01	1.001083e+01
2.691535e+01	9.619328e+00
2.722701e+01	9.241870e+00
2.754229e+01	8.878450e+00
2.786121e+01	8.528946e+00
