1e-08	1.50879e+18
1.25893e-08	1.50879e+18
1.58489e-08	1.50879e+18
1.99526e-08	1.50879e+18
2.51189e-08	1.50879e+18
3.16228e-08	1.50879e+18
3.98107e-08	1.50879e+18
5.01187e-08	1.50879e+18
6.30957e-08	1.50879e+18
7.94328e-08	1.50879e+18
1e-07	1.50879e+18
1.25893e-07	1.50879e+18
1.58489e-07	1.50879e+18
1.99526e-07	1.50879e+18
2.51189e-07	1.50879e+18
3.16228e-07	1.50879e+18
3.98107e-07	1.50879e+18
5.01187e-07	1.50879e+18
6.30957e-07	1.50879e+18
7.94328e-07	1.50879e+18
1e-06	1.50879e+18
1.25893e-06	1.50879e+18
1.58489e-06	1.50879e+18
1.99526e-06	1.50879e+18
2.51189e-06	1.50879e+18
3.16228e-06	1.50879e+18
3.98107e-06	1.50879e+18
5.01187e-06	1.50879e+18
6.30957e-06	1.50879e+18
7.94328e-06	1.50879e+18
1e-05	1.50879e+18
1.25893e-05	1.50879e+18
1.58489e-05	1.50879e+18
1.99526e-05	1.50879e+18
2.51189e-05	1.73231e+18
3.16228e-05	2.134e+18
3.98107e-05	3.01375e+18
5.01187e-05	6.20291e+18
6.30957e-05	8.27769e+18
7.94328e-05	1.28003e+19
0.0001	1.92061e+19
0.0002	6.16301e+19
0.0003	1.23192e+20
0.0004	2.02142e+20
0.0005	2.97384e+20
0.0006	4.08144e+20
0.0007	5.33854e+20
0.0008	6.74065e+20
0.0009	8.28366e+20
0.001	9.96432e+20
0.002	3.38649e+21
0.003	6.95999e+21
0.004	1.16209e+22
0.005	1.7321e+22
0.006	2.40086e+22
0.007	3.16404e+22
0.008	4.01774e+22
0.009	4.95837e+22
0.01	5.98321e+22
0.015	1.23215e+23
0.02	2.05053e+23
0.025	3.04003e+23
0.03	4.18833e+23
0.038168	6.73867e+23
0.048559	1.03159e+24
0.06178	1.57088e+24
0.0786	2.37733e+24
0.1	3.57224e+24
0.158489	7.59475e+24
0.251189	1.54409e+25
0.398107	2.90673e+25
0.630957	4.72955e+25
1	6.19349e+25
1.58489	6.96105e+25
2.51189	8.25132e+25
3.98107	1.20114e+26
6.30957	2.17243e+26
10	4.57449e+26
-1	-1
